user_id	event_name	ts
	start	2019-08-28 19:05:24
	finish	2019-08-01 06:27:47
	start	2019-06-25 13:39:10
	start	2019-08-01 16:47:05
1e5db61e	finish	2019-07-17 20:31:16
	start	2019-08-18 16:55:05
5362a22b	finish	2019-08-26 23:07:41
	start	2019-08-20 05:22:19
	start	2019-06-28 01:15:09
39958ea4	finish	
7648b0f2	finish	2019-07-17 20:37:31
	finish	2019-07-08 16:49:55
07aea4da	finish	
	finish	2019-06-28 21:20:55
	start	2019-06-18 20:22:45
	start	2019-08-22 04:40:24
	start	2019-08-19 03:34:06
4a2da09c	finish	2019-08-25 07:47:13
ff9d9b71	finish	2019-08-05 23:24:16
	start	2019-08-19 16:21:09
	start	2019-08-04 20:42:02
	start	2019-07-02 15:59:33
e42baff6	finish	2019-06-14 09:13:19
	start	2019-08-02 19:11:42
939f90c9	finish	2019-07-09 20:18:41
	start	2019-08-13 14:06:17
	start	2019-08-16 03:50:07
5cfc9232	finish	2019-06-22 20:53:32
	start	2019-06-10 03:04:17
8f23a0f3	finish	2019-08-23 19:13:10
af029219	finish	
	start	2019-06-29 12:37:25
	start	2019-08-22 11:13:33
	start	2019-08-24 00:34:49
	finish	2019-07-02 18:01:44
95f7b654	finish	2019-08-07 22:30:49
f5d6b855	finish	2019-08-11 08:49:37
b0c7b505	finish	2019-06-13 02:21:56
	start	2019-07-30 20:05:05
	start	2019-06-13 02:05:39
	start	2019-08-22 19:25:51
9ef3a14b	finish	2019-08-16 16:40:10
	start	2019-08-19 13:53:01
	finish	2019-08-04 10:42:14
	start	2019-08-16 23:52:34
	start	2019-07-16 00:09:42
	finish	2019-07-04 18:35:59
9c96a8d5	finish	
	start	2019-08-24 15:04:41
	start	2019-08-23 22:58:02
	start	2019-08-20 15:31:35
	start	2019-08-14 23:06:22
	start	2019-07-13 11:38:58
	start	2019-08-04 18:26:17
	start	2019-08-29 23:08:49
	start	2019-06-25 13:42:54
18969e1d	finish	
	start	2019-07-17 07:31:07
c109a536	finish	2019-07-13 04:39:53
	finish	2019-06-14 15:50:24
	start	2019-08-09 20:06:13
1386afcb	finish	
7fe0a737	finish	
	start	2019-06-13 06:27:47
41299bdf	finish	2019-08-07 16:55:32
	start	2019-06-11 01:35:01
